name	status	time_end2end	nb_atoms	command
0010000	success	  0.279492	6998	./bin/dlv-wrapper --program programs/doctors-q04/0010000/dlv.txt --dataset datasets/doctors/dlv/0010000/hospital.data datasets/doctors/dlv/0010000/treatment.data datasets/doctors/dlv/0010000/medprescription.data datasets/doctors/dlv/0010000/physician.data --working-dir ./results/doctors-q04/dlv/0010000
0100000	success	  1.661404	79000	./bin/dlv-wrapper --program programs/doctors-q04/0100000/dlv.txt --dataset datasets/doctors/dlv/0100000/hospital.data datasets/doctors/dlv/0100000/treatment.data datasets/doctors/dlv/0100000/medprescription.data datasets/doctors/dlv/0100000/physician.data --working-dir ./results/doctors-q04/dlv/0100000
0500000	success	 10.039343	395000	./bin/dlv-wrapper --program programs/doctors-q04/0500000/dlv.txt --dataset datasets/doctors/dlv/0500000/hospital.data datasets/doctors/dlv/0500000/treatment.data datasets/doctors/dlv/0500000/medprescription.data datasets/doctors/dlv/0500000/physician.data --working-dir ./results/doctors-q04/dlv/0500000
1000000	success	 21.131060	790000	./bin/dlv-wrapper --program programs/doctors-q04/1000000/dlv.txt --dataset datasets/doctors/dlv/1000000/hospital.data datasets/doctors/dlv/1000000/treatment.data datasets/doctors/dlv/1000000/medprescription.data datasets/doctors/dlv/1000000/physician.data --working-dir ./results/doctors-q04/dlv/1000000
