name	status	time_end2end	nb_atoms	command
0010000	success	  0.306875	6998	./bin/dlv-wrapper --program programs/doctors-q02/0010000/dlv.txt --dataset datasets/doctors/dlv/0010000/hospital.data datasets/doctors/dlv/0010000/treatment.data datasets/doctors/dlv/0010000/medprescription.data datasets/doctors/dlv/0010000/physician.data --working-dir ./results/doctors-q02/dlv/0010000
0100000	success	  2.487033	79000	./bin/dlv-wrapper --program programs/doctors-q02/0100000/dlv.txt --dataset datasets/doctors/dlv/0100000/hospital.data datasets/doctors/dlv/0100000/treatment.data datasets/doctors/dlv/0100000/medprescription.data datasets/doctors/dlv/0100000/physician.data --working-dir ./results/doctors-q02/dlv/0100000
0500000	success	  8.893899	275000	./bin/dlv-wrapper --program programs/doctors-q02/0500000/dlv.txt --dataset datasets/doctors/dlv/0500000/hospital.data datasets/doctors/dlv/0500000/treatment.data datasets/doctors/dlv/0500000/medprescription.data datasets/doctors/dlv/0500000/physician.data --working-dir ./results/doctors-q02/dlv/0500000
1000000	success	 22.253294	790000	./bin/dlv-wrapper --program programs/doctors-q02/1000000/dlv.txt --dataset datasets/doctors/dlv/1000000/hospital.data datasets/doctors/dlv/1000000/treatment.data datasets/doctors/dlv/1000000/medprescription.data datasets/doctors/dlv/1000000/physician.data --working-dir ./results/doctors-q02/dlv/1000000
