m1,p
http://dbpedia.org/resource/Red_Storm_Entertainment,http://dbpedia.org/resource/Tom_Clancy
http://dbpedia.org/resource/InterMedia_Partners,http://dbpedia.org/resource/Tom_Daschle
http://dbpedia.org/resource/Sindicatum,http://dbpedia.org/resource/Tom_Daschle
http://dbpedia.org/resource/Botswana_Stock_Exchange,http://dbpedia.org/resource/Trade
http://dbpedia.org/resource/SimEx-Iwerks,http://dbpedia.org/resource/Ub_Iwerks
http://dbpedia.org/resource/National_Action_Alliance_for_Suicide_Prevention,http://dbpedia.org/resource/United_States_Army
http://dbpedia.org/resource/Guitar_Foundation_of_America,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/IP_Pixel,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Tri_Alpha_Energy,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/GroupLogic,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Malwarebytes,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Alcon_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ClimateWell,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Groundfloor,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/QuantumDigital,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ralcorp,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/The_Village_Bank,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Temple_Square_Hospitality,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Boshears_Skyfest,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Berkshire_Hathaway,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Critical_Path,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ruby_Tuesday_(restaurant),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/USG_Corporation,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Yola_(webhost),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/SMG_(property_management),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ConsumerLab.com,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Tommy_Habeeb_Enterprises,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Control_Module_Industries,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Deseret_Digital_Media,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Fleming's_Prime_Steakhouse_&_Wine_Bar,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/IArchives,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Mondetta_Clothing_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Pikaba.com,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Flexiant,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Great_West_Newspapers,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Jolla,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Mettler_Toledo,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Wharfedale_Technologies,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Fry's_Electronics,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/SFM_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Solar_Entertainment_Corporation,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Amrita_Learning,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Figaro_Systems,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Helibras,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Rock/Creek,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Takeover_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/CBC_Television,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Embraer,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Scion_(automobile),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ticketmaster,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Public_Service_Enterprise_Group,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Clickteam,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Falconbridge_Ltd.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Swiss_Broadcasting_Corporation,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/En_Masse_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Fathom_Events,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Un-Cruise_Adventures,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ImpediMed,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Saygus,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Kaiser_Broadcasting,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/SENSIO_Technologies,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Sulake,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/GE_Honda_Aero_Engines,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Animation_studios_owned_by_The_Walt_Disney_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Hershey_Creamery_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/American_Television_Distribution,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Bonefish_Grill,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Showtime_Networks,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Pearson's_Candy_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/List_of_assets_owned_by_Berkshire_Hathaway,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/MercadoLibre.com,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Geokinetics,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Full_Impact_Pro,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ACMAT,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Bloomin'_Brands,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Glu_Mobile,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Hershey_Entertainment_and_Resorts_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Paradigma_Software,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Transports_Metropolitans_de_Barcelona,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Terrafugia,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Warnaco_Group,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Portfolio_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Vector_Security,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Crystal_Lake_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Deeplink_(company),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/LLamasoft,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/PSSC_Labs,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Spaceship_Earth_Grants,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Steel_City_Wrestling,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Electus,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Myriad_Genetics,http://dbpedia.org/resource/Walter_Gilbert
http://dbpedia.org/resource/Oilers_Entertainment_Group,http://dbpedia.org/resource/Wayne_Gretzky
http://dbpedia.org/resource/Comic_Relief_USA,http://dbpedia.org/resource/Whoopi_Goldberg
http://dbpedia.org/resource/Boulton_and_Watt,http://dbpedia.org/resource/William_Murdoch
http://dbpedia.org/resource/Burroughs_Corporation,http://dbpedia.org/resource/William_Seward_Burroughs_I
http://dbpedia.org/resource/CCP_Games,http://dbpedia.org/resource/World
http://dbpedia.org/resource/Annapurna_Studios,http://dbpedia.org/resource/Akhil_Akkineni
http://dbpedia.org/resource/Maxygen,http://dbpedia.org/resource/Alejandro_Zaffaroni
http://dbpedia.org/resource/Blue_Sky_Studios,http://dbpedia.org/resource/Chris_Wedge
http://dbpedia.org/resource/Rocketplane_Limited,_Inc.,http://dbpedia.org/resource/David_Urie
http://dbpedia.org/resource/Ring_of_Honor,http://dbpedia.org/resource/Delirious_(wrestler)
